Mês	Dia	Hora	Temperatura {C}	Umidade {kg/kg}	Densidade do ar {kg/m3}	Velocidade do Vento {m/s}	Direção do Vento {graus}
12	1	1	23	0.017272833	1.158	4	30
12	1	2	23	0.017272833	1.158	3	360
12	1	3	23	0.017357091	1.159	3	360
12	1	4	23	0.017501464	1.158	4	30
12	1	5	23	0.017375027	1.157	2	360
12	1	6	23	0.017332894	1.157	5	360
12	1	7	23	0.017368873	1.155	3	360
12	1	8	23	0.017158287	1.153	3	360
12	1	9	23.5	0.017464786	1.148	4	30
12	1	10	23.3	0.015769543	1.139	3	40
12	1	11	24.8	0.017517411	1.13	4	190
12	1	12	25	0.018142327	1.134	8	180
12	1	13	24.5	0.017200588	1.135	8	180
12	1	14	25	0.017911294	1.134	8	170
12	1	15	23.5	0.016441999	1.145	5	200
12	1	16	21.8	0.015593527	1.161	8	190
12	1	17	21	0.014899331	1.167	4	190
12	1	18	21	0.014899331	1.167	5	190
12	1	19	21.3	0.015321995	1.167	3	210
12	1	20	20.4	0.014096388	1.17	8	210
12	1	21	20.2	0.013893147	1.173	8	220
12	1	22	19.7	0.013292716	1.176	8	240
12	1	23	20.1	0.01397898	1.177	7	220
12	1	24	19.7	0.01352835	1.179	8	210
12	2	1	19.9	0.01389232	1.178	8	210
12	2	2	19.3	0.012975363	1.178	10	240
12	2	3	19.4	0.013189242	1.179	10	220
12	2	4	18.6	0.012546218	1.182	11	230
12	2	5	18.8	0.012759504	1.182	10	230
12	2	6	18.9	0.013137474	1.183	10	230
12	2	7	19.1	0.013298469	1.183	8	180
12	2	8	18.7	0.012410529	1.181	7	210
12	2	9	18.8	0.012275243	1.18	10	230
12	2	10	18.5	0.011604652	1.179	7	220
12	2	11	19.2	0.011959227	1.173	6	230
12	2	12	19	0.011618701	1.173	6	200
12	2	13	18.8	0.011169849	1.171	7	180
12	2	14	18	0.01037467	1.174	7	180
12	2	15	18	0.010387522	1.173	8	180
12	2	16	18.7	0.011180393	1.171	7	160
12	2	17	18.9	0.011642192	1.172	6	150
12	2	18	19.1	0.012065084	1.173	6	160
12	2	19	18	0.011213972	1.179	5	170
12	2	20	16.5	0.010226956	1.19	1	180
12	2	21	16.5	0.010846627	1.195	2	180
12	2	22	16	0.010474577	1.198	2	180
12	2	23	17	0.011229678	1.193	0	0
12	2	24	17	0.011229678	1.193	0	0
12	3	1	17.5	0.011636495	1.189	0	0
12	3	2	17	0.011241748	1.191	0	0
12	3	3	17	0.011241748	1.191	0	0
12	3	4	16	0.010715177	1.196	2	280
12	3	5	15.3	0.010127838	1.199	2	270
12	3	6	17	0.011668211	1.194	0	0
12	3	7	17	0.01177544	1.192	0	0
12	3	8	17	0.01126596	1.189	0	0
12	3	9	17.5	0.011052887	1.18	0	0
12	3	10	18.5	0.012501223	1.179	4	50
12	3	11	19.2	0.012901198	1.174	3	20
12	3	12	19.6	0.013274	1.17	4	360
12	3	13	20.1	0.013484085	1.166	5	340
12	3	14	20.9	0.014665513	1.164	6	10
12	3	15	20.5	0.014419547	1.166	5	10
12	3	16	20.5	0.014643913	1.167	5	350
12	3	17	20.5	0.014868475	1.167	5	20
12	3	18	20.5	0.015135118	1.168	3	10
12	3	19	20.2	0.014849077	1.17	2	360
12	3	20	20.7	0.015370462	1.167	0	0
12	3	21	20.7	0.015370462	1.167	0	0
12	3	22	21.5	0.016108198	1.163	3	30
12	3	23	21.5	0.015923822	1.163	4	30
12	3	24	21.7	0.016044063	1.162	5	40
12	4	1	21.7	0.015960106	1.161	6	30
12	4	2	21.8	0.016247775	1.16	6	30
12	4	3	21.8	0.016264555	1.159	4	20
12	4	4	21.8	0.016306569	1.16	6	360
12	4	5	21.8	0.016306569	1.16	4	20
12	4	6	21.8	0.016264555	1.159	4	20
12	4	7	21.9	0.01636834	1.159	5	10
12	4	8	22.3	0.016764698	1.155	8	10
12	4	9	22.7	0.017280034	1.153	4	10
12	4	10	22.7	0.017262218	1.154	7	360
12	4	11	23.8	0.018498069	1.148	5	30
12	4	12	24.5	0.018499405	1.136	7	50
12	4	13	25.5	0.019758662	1.129	5	30
12	4	14	25	0.018707733	1.129	5	30
12	4	15	26.1	0.020346141	1.123	3	40
12	4	16	26.5	0.020667078	1.119	5	360
12	4	17	24	0.017986885	1.137	3	30
12	4	18	24.2	0.018287546	1.138	1	360
12	4	19	24	0.018136209	1.14	2	180
12	4	20	23.8	0.018052669	1.143	0	0
12	4	21	23.5	0.017731475	1.146	3	180
12	4	22	23.1	0.017281362	1.149	3	180
12	4	23	21.3	0.015402695	1.161	4	200
12	4	24	22	0.016270674	1.159	2	180
12	5	1	22	0.016270674	1.159	2	150
12	5	2	21.6	0.015874277	1.16	0	0
12	5	3	22	0.016287631	1.158	2	120
12	5	4	22	0.016304623	1.157	0	0
12	5	5	22.2	0.016431002	1.155	0	0
12	5	6	22.2	0.016431002	1.155	0	0
12	5	7	21.4	0.015545299	1.161	2	220
12	5	8	22	0.016270674	1.159	0	0
12	5	9	22.2	0.01627059	1.156	4	210
12	5	10	22.5	0.016572422	1.156	2	230
12	5	11	22.5	0.016554989	1.157	3	180
12	5	12	21.5	0.014969185	1.159	4	210
12	5	13	21.2	0.014793977	1.161	4	200
12	5	14	21.2	0.015212488	1.165	3	160
12	5	15	20	0.013432715	1.167	4	180
12	5	16	20	0.013432715	1.167	3	150
12	5	17	21	0.0143874	1.161	3	180
12	5	18	21	0.015014595	1.166	3	190
