Mês	Dia	Hora	Temperatura {C}	Umidade {kg/kg}	Densidade do ar {kg/m3}	Velocidade do Vento {m/s}	Direção do Vento {graus}
11	1	1	17.5	0.012554952	1.187	5	230
11	1	2	17.3	0.011974939	1.181	3	180
11	1	3	17.8	0.01221507	1.177	0	0
11	1	4	17.8	0.012254183	1.173	7	10
11	1	5	17.3	0.0120128	1.177	3	360
11	1	6	17	0.011802964	1.18	3	360
11	1	7	19.5	0.014118661	1.169	2	330
11	1	8	21	0.015529025	1.162	0	0
11	1	9	21	0.015094064	1.16	2	230
11	1	10	20.7	0.013740406	1.155	5	200
11	1	11	21.5	0.014758435	1.151	3	250
11	1	12	21	0.013824956	1.152	3	240
11	1	13	21	0.013257946	1.146	3	180
11	1	14	21	0.013216354	1.146	3	130
11	1	15	22	0.015273291	1.148	3	160
11	1	16	21	0.015110055	1.159	3	160
11	1	17	19.5	0.013463864	1.167	3	120
11	1	18	19	0.013196839	1.174	3	110
11	1	19	18.7	0.013018262	1.176	4	180
11	1	20	18.7	0.012962949	1.177	5	190
11	1	21	18.5	0.012652808	1.178	5	200
11	1	22	18.3	0.012358476	1.178	7	200
11	1	23	18.2	0.012344273	1.181	5	200
11	1	24	18	0.012177691	1.182	5	200
11	2	1	17.8	0.012013023	1.183	4	210
11	2	2	17.9	0.012178152	1.183	4	210
11	2	3	18	0.012510049	1.184	4	230
11	2	4	18	0.012842799	1.187	3	230
11	2	5	18	0.012842799	1.187	5	220
11	2	6	18	0.012842799	1.187	4	230
11	2	7	17.6	0.012252691	1.188	3	220
11	2	8	17.3	0.011667711	1.189	3	230
11	2	9	17.5	0.012022339	1.19	1	200
11	2	10	18	0.012250445	1.187	3	210
11	2	11	18.3	0.012416986	1.185	3	220
11	2	12	18.7	0.0129095	1.185	3	100
11	2	13	18.8	0.012829117	1.184	3	140
11	2	14	18	0.011863991	1.186	0	0
11	2	15	18.5	0.011617923	1.178	2	120
11	2	16	18.6	0.012185799	1.178	3	150
11	2	17	18.5	0.012059196	1.179	3	130
11	2	18	18	0.01184831	1.183	2	150
11	2	19	18	0.012333527	1.188	5	120
11	2	20	17.6	0.012214839	1.192	0	0
11	2	21	17.6	0.01232691	1.194	2	90
11	2	22	17.6	0.01232691	1.194	0	0
11	2	23	17.5	0.012246512	1.195	0	0
11	2	24	17.8	0.012613862	1.194	2	340
11	3	1	17.8	0.012613862	1.194	0	0
11	3	2	17.8	0.01269706	1.195	0	0
11	3	3	17.8	0.0127098	1.194	2	170
11	3	4	17.6	0.012547335	1.195	3	210
11	3	5	17.4	0.012386739	1.196	1	90
11	3	6	17.3	0.012253254	1.197	0	0
11	3	7	17.3	0.012253254	1.197	0	0
11	3	8	17.2	0.011995873	1.198	0	0
11	3	9	18	0.012432424	1.191	4	270
11	3	10	18.2	0.01226567	1.188	1	260
11	3	11	18.8	0.013106927	1.187	1	350
11	3	12	20	0.013344413	1.174	1	80
11	3	13	19.5	0.013514601	1.181	2	100
11	3	14	19.7	0.013501039	1.177	3	100
11	3	15	19.7	0.01351544	1.176	2	70
11	3	16	19.5	0.013126415	1.176	4	70
11	3	17	19.3	0.012864575	1.176	5	30
11	3	18	19	0.012891598	1.18	4	30
11	3	19	18.5	0.012461109	1.183	3	40
11	3	20	18.5	0.012461109	1.183	5	30
11	3	21	18	0.012042846	1.186	3	80
11	3	22	18	0.012029957	1.187	5	30
11	3	23	18	0.012237551	1.189	5	30
11	3	24	18	0.012237551	1.189	2	60
11	4	1	17.5	0.011843844	1.19	3	50
11	4	2	17.5	0.011843844	1.19	5	30
11	4	3	18	0.012263364	1.186	3	30
11	4	4	18	0.012263364	1.186	4	10
11	4	5	18	0.012263364	1.186	4	20
11	4	6	18	0.01247112	1.188	5	30
11	4	7	18.4	0.012722309	1.185	3	350
11	4	8	18.5	0.012668961	1.185	4	350
11	4	9	19	0.01351639	1.185	5	360
11	4	10	19.1	0.01360414	1.185	3	360
11	4	11	19	0.013474694	1.185	7	30
11	4	12	19.7	0.013890817	1.179	5	20
11	4	13	19.8	0.013454422	1.173	7	30
11	4	14	20.4	0.014054645	1.17	7	30
11	4	15	20.2	0.01402141	1.17	5	30
11	4	16	20.3	0.013906856	1.168	5	40
11	4	17	20	0.013849586	1.17	7	40
11	4	18	19.4	0.013218489	1.173	8	30
11	4	19	19.6	0.0136635	1.172	7	40
11	4	20	19.3	0.013309772	1.173	5	30
11	4	21	19.5	0.013531162	1.172	6	40
11	4	22	19.5	0.013433448	1.173	8	360
11	4	23	19.5	0.013475121	1.173	7	30
11	4	24	19.5	0.0135168	1.174	6	20
11	5	1	19.7	0.013852688	1.171	7	360
11	5	2	19.5	0.013643355	1.171	5	360
11	5	3	19.6	0.014207925	1.172	5	330
11	5	4	19.5	0.014104111	1.17	8	30
11	5	5	19.5	0.014145876	1.171	8	30
11	5	6	19.9	0.014681335	1.17	6	360
11	5	7	19.3	0.013839721	1.171	6	360
11	5	8	19	0.013613967	1.173	5	360
11	5	9	19.3	0.01361683	1.17	6	360
11	5	10	19.8	0.013986239	1.171	0	0
11	5	11	20.4	0.014187612	1.163	3	40
11	5	12	21.3	0.014665655	1.154	5	30
11	5	13	21.2	0.014806963	1.154	5	30
11	5	14	20.6	0.014415396	1.156	5	30
11	5	15	20.4	0.014238198	1.156	8	30
11	5	16	19.8	0.013520846	1.157	10	10
11	5	17	21.1	0.0147719	1.15	4	20
11	5	18	22.2	0.015702799	1.144	3	180
11	5	19	22.1	0.01538768	1.143	3	200
11	5	20	20.5	0.013594184	1.152	5	210
11	5	21	20.5	0.013771599	1.156	3	200
11	5	22	20.5	0.013771599	1.156	2	210
11	5	23	20.5	0.013964672	1.159	3	180
11	5	24	19.8	0.013292215	1.164	3	230
11	6	1	19.7	0.01320048	1.165	2	200
11	6	2	19.5	0.013018579	1.166	3	220
11	6	3	19	0.012600831	1.166	2	230
11	6	4	19	0.01258683	1.168	0	0
11	6	5	19	0.013210828	1.172	2	270
11	6	6	19	0.013405139	1.175	0	0
11	6	7	19.2	0.013790872	1.176	0	0
11	6	8	19.5	0.013628933	1.172	1	260
11	6	9	20.2	0.013649377	1.163	3	240
11	6	10	20.7	0.014753029	1.165	0	0
11	6	11	20.9	0.014639425	1.163	0	0
11	6	12	21.2	0.014977335	1.161	2	100
11	6	13	20.8	0.014390369	1.161	3	130
11	6	14	21.3	0.015009623	1.159	3	120
11	6	15	20.7	0.014502173	1.163	3	210
11	6	16	19.8	0.013694201	1.169	3	160
11	6	17	20.5	0.014617488	1.165	5	190
11	6	18	19.5	0.013726762	1.171	4	180
11	6	19	19.4	0.01363641	1.172	3	190
11	6	20	18	0.012453004	1.181	3	180
11	6	21	18.1	0.012731064	1.184	2	150
11	6	22	18.2	0.012856405	1.183	2	210
11	6	23	18.2	0.013051346	1.186	1	230
11	6	24	18.1	0.013009279	1.187	2	220
11	7	1	18	0.012842799	1.187	0	0
11	7	2	18.2	0.013022913	1.185	0	0
11	7	3	18	0.012689408	1.184	3	240
11	7	4	18.2	0.012898023	1.184	0	0
11	7	5	17.8	0.012441193	1.185	0	0
11	7	6	18	0.012744066	1.184	0	0
11	7	7	17.4	0.012170869	1.186	0	0
11	7	8	17.6	0.012568997	1.188	0	0
11	7	9	17.6	0.012527415	1.188	0	0
11	7	10	17.8	0.012703568	1.186	3	270
11	7	11	18.3	0.013162154	1.183	3	250
11	7	12	19	0.013599622	1.178	2	340
11	7	13	19.5	0.014046205	1.175	0	0
11	7	14	19.7	0.014326648	1.173	0	0
11	7	15	19.7	0.014326648	1.173	0	0
11	7	16	19.9	0.014442455	1.17	0	0
11	7	17	20	0.014326622	1.168	0	0
11	7	18	20.6	0.014912121	1.164	0	0
11	7	19	20.5	0.014857513	1.165	0	0
11	7	20	20	0.014341586	1.167	0	0
11	7	21	20.2	0.014738706	1.168	0	0
11	7	22	19.9	0.014442455	1.17	0	0
11	7	23	19.5	0.014075099	1.173	0	0
11	7	24	19.5	0.014102399	1.174	0	0
11	8	1	19.5	0.014075099	1.173	0	0
11	8	2	19.5	0.014131354	1.172	3	30
11	8	3	19.5	0.014160427	1.169	8	10
11	8	4	19	0.013892501	1.172	8	20
11	8	5	18.9	0.013804112	1.173	8	30
11	8	6	18.8	0.01371623	1.174	7	20
